"DateTime","Players","Players Trend","Twitch Viewers"
"2021-01-01 00:40:00",105470,97927.2530007709,544
"2021-01-01 00:50:00",105410,97982.88320394236,519
"2021-01-01 01:00:00",105119,98036.74088756752,512
"2021-01-01 01:10:00",104877,98089.86463495216,496
"2021-01-01 01:20:00",104634,98139.82274804544,485
"2021-01-01 01:30:00",104503,98189.05033861917,489
"2021-01-01 01:40:00",103250,98233.9826216827,485
"2021-01-01 01:50:00",103364,98283.79536257026,464
"2021-01-01 02:00:00",103256,98332.58745595206,491
"2021-01-01 02:10:00",103031,98379.53804647073,576
"2021-01-01 02:20:00",102950,98425.66499421878,572
"2021-01-01 02:30:00",102854,98470.78533476498,621
"2021-01-01 02:40:00",102754,98516.83419364615,614
"2021-01-01 02:50:00",101623,98559.49302802564,669
"2021-01-01 03:00:00",100955,98605.28015224103,688
"2021-01-01 03:10:00",99721,98648.7568067945,660
"2021-01-01 03:20:00",99132,98693.73098364727,591
"2021-01-01 03:30:00",98429,98743.15590243373,563
"2021-01-01 03:40:00",98447,98797.74851337967,610
"2021-01-01 03:50:00",98420,98851.64051315942,615
"2021-01-01 04:00:00",98149,98903.78321495438,658
"2021-01-01 04:10:00",98077,98950.82412454585,683
"2021-01-01 04:20:00",97983,98995.87929468129,718
"2021-01-01 04:30:00",97841,99042.14097428706,667
"2021-01-01 04:40:00",97464,99089.0222373638,659
"2021-01-01 04:50:00",96731,99135.0361400177,607
"2021-01-01 05:00:00",96219,99182.39484225312,641
"2021-01-01 05:10:00",95588,99229.5604490145,321
"2021-01-01 05:20:00",95730,99279.11886080838,380
"2021-01-01 05:30:00",94907,99325.44060400844,382
"2021-01-01 05:40:00",94899,99372.64608798598,374
"2021-01-01 05:50:00",94851,99417.20627546533,363
"2021-01-01 06:00:00",92768,99458.29496338515,363
"2021-01-01 06:10:00",93038,99508.3772712257,311
"2021-01-01 06:20:00",93384,99551.36601145256,334
"2021-01-01 06:30:00",93315,99592.59096602803,328
"2021-01-01 06:40:00",92130,99631.33287908827,334
"2021-01-01 06:50:00",93337,99677.41606100654,264
"2021-01-01 07:00:00",93636,99719.37168263414,256
"2021-01-01 07:10:00",93990,99763.03421979964,230
"2021-01-01 07:20:00",94425,99805.78723433548,214
"2021-01-01 07:30:00",95081,99848.60475856188,199
"2021-01-01 07:40:00",95288,99890.75244328825,237
"2021-01-01 07:50:00",95299,99931.37890926114,232
"2021-01-01 08:00:00",95110,99971.31985051211,218
"2021-01-01 08:10:00",94608,100011.6133685718,200
"2021-01-01 08:20:00",94607,100050.93111303824,196
"2021-01-01 08:30:00",94375,100089.73788679665,214
"2021-01-01 08:40:00",94254,100128.48605605113,213
"2021-01-01 08:50:00",93736,100159.528383438,194
"2021-01-01 09:00:00",93688,100200.43075514815,139
"2021-01-01 09:10:00",93231,100241.39177953973,116
"2021-01-01 09:20:00",93691,100284.38274281469,124
